monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.000271,2026-05-05T21:32:47.740653+00:00,48.5,,0.0,,0.8473,,2400.0,,4.6
0.5,2026-05-05T21:32:48.305096+00:00,48.7545,,14.0691,,0.8473,,2400.0,,5.112
1.0,2026-05-05T21:32:48.734153+00:00,48.4411,,13.6366,,0.8473,0.0,2400.0,0.0,5.4643
1.5,2026-05-05T21:32:49.234544+00:00,48.8365,,19.9222,,0.8473,0.0,2400.0,0.0,6.353
2.0,2026-05-05T21:32:49.734311+00:00,49.6496,0.5748,37.2952,,0.8473,0.0,2400.0,0.0,6.7866
2.5,2026-05-05T21:32:50.237623+00:00,50.529,0.8872,50.7638,,0.8473,0.0,2400.0,0.0,7.0495
3.00445,2026-05-05T21:32:50.738914+00:00,51.0776,1.3183,60.7687,20.2562,0.8473,0.0,2400.0,0.0,7.1777
3.5,2026-05-05T21:32:51.234171+00:00,51.6266,1.395,68.7824,18.2377,0.8473,0.0,2400.0,0.0,7.2403
4.0,2026-05-05T21:32:51.735237+00:00,52.1758,1.2631,74.9417,20.435,0.8473,0.0,2400.0,0.0,7.2709
4.5,2026-05-05T21:32:52.234351+00:00,52.8525,1.1617,79.6989,19.9256,0.8473,0.0,2400.0,0.0,7.2858
5.0,2026-05-05T21:32:52.745561+00:00,53.3725,1.1475,83.3553,15.3533,0.8473,0.0,2400.0,0.0,7.2419
5.500312,2026-05-05T21:32:53.249787+00:00,53.645,1.0092,86.2812,11.8391,0.8473,0.0,2400.0,0.0,7.2204
6.0,2026-05-05T21:32:53.734189+00:00,53.9817,0.9029,88.4839,9.2384,0.8473,0.0,2400.0,0.0,7.21
6.5,2026-05-05T21:32:54.234442+00:00,54.3677,0.7576,90.2,7.1392,0.8473,0.0,2400.0,0.0,7.2049
7.0,2026-05-05T21:32:54.734174+00:00,54.7917,0.7096,91.6347,5.5643,0.8473,0.0,2400.0,0.0,7.2024
7.5,2026-05-05T21:32:55.239019+00:00,55.1176,0.7363,92.7374,4.3462,0.8473,0.0,2400.0,0.0,7.2012
8.0,2026-05-05T21:32:55.734212+00:00,55.3681,0.6932,93.4923,3.379,0.8473,0.0,2400.0,0.0,7.2006
8.5,2026-05-05T21:32:56.234190+00:00,55.5606,0.5964,94.0957,2.6048,0.8473,0.0,2400.0,0.0,7.2515
9.0,2026-05-05T21:32:56.734369+00:00,55.7085,0.4584,94.6521,2.0561,0.8473,0.0,2400.0,0.0,7.2251
