monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.000267,2026-06-05T19:52:04.924425+00:00,46.85,,0.0,,0.8473,,2400.0,,4.3
0.500002,2026-06-05T19:52:05.421149+00:00,47.1045,,16.36,,0.8473,,2400.0,,4.812
1.0,2026-06-05T19:52:05.921144+00:00,47.682,,31.8036,,0.8473,0.0,2400.0,0.0,5.8299
1.5,2026-06-05T19:52:06.421850+00:00,48.2531,,46.6587,,0.8473,0.0,2400.0,0.0,6.3266
2.0,2026-06-05T19:52:06.921221+00:00,48.9466,1.0483,58.1919,,0.8473,0.0,2400.0,0.0,6.6202
2.5,2026-06-05T19:52:07.426247+00:00,49.6069,1.2512,66.9407,,0.8473,0.0,2400.0,0.0,6.7634
3.0,2026-06-05T19:52:07.921090+00:00,50.2416,1.2798,73.665,24.555,0.8473,0.0,2400.0,0.0,6.7822
3.5,2026-06-05T19:52:08.421205+00:00,51.1113,1.4291,78.9491,20.863,0.8473,0.0,2400.0,0.0,6.7913
4.0,2026-06-05T19:52:08.921167+00:00,51.7798,1.4166,82.8946,17.0303,0.8473,0.0,2400.0,0.0,6.7958
4.5,2026-06-05T19:52:09.421204+00:00,52.1662,1.2797,86.0429,13.1281,0.8473,0.0,2400.0,0.0,6.7979
5.0,2026-06-05T19:52:09.926878+00:00,52.336,1.0472,88.4396,10.0825,0.8473,0.0,2400.0,0.0,6.7478
5.509477,2026-06-05T19:52:10.431108+00:00,52.5938,0.7412,90.4436,7.8343,0.8473,0.0,2400.0,0.0,6.8257
6.0,2026-06-05T19:52:10.921769+00:00,52.9192,0.5697,91.4517,5.9289,0.8473,0.0,2400.0,0.0,6.8126
6.5,2026-06-05T19:52:11.421117+00:00,53.1693,0.5015,92.5041,4.5184,0.8473,0.0,2400.0,0.0,6.8061
7.0,2026-06-05T19:52:11.921273+00:00,53.3615,0.5127,93.3131,3.4728,0.8473,0.0,2400.0,0.0,6.803
7.5,2026-06-05T19:52:12.424922+00:00,53.6365,0.5214,93.9348,2.6306,0.8473,0.0,2400.0,0.0,6.8015
8.0,2026-06-05T19:52:12.921630+00:00,53.8479,0.4644,94.4127,1.9911,0.8473,0.0,2400.0,0.0,6.8007
8.5,2026-06-05T19:52:13.421088+00:00,54.0104,0.4205,94.78,1.4455,0.8473,0.0,2400.0,0.0,6.8003
9.0,2026-06-05T19:52:13.921170+00:00,54.3898,0.5141,95.178,1.2421,0.8473,0.0,2400.0,0.0,6.8002
9.5,2026-06-05T19:52:14.421137+00:00,54.5541,0.4588,95.3682,0.9547,0.8473,0.0,2400.0,0.0,6.8001
10.0,2026-06-05T19:52:14.929243+00:00,54.6804,0.4163,95.4219,0.7029,0.8473,0.0,2400.0,0.0,6.8
10.5,2026-06-05T19:52:15.421121+00:00,54.7775,0.3836,95.5556,0.5403,0.8473,0.0,2400.0,0.0,6.7488
11.0,2026-06-05T19:52:15.921235+00:00,54.8521,0.2312,95.6585,0.4152,0.8473,0.0,2400.0,0.0,6.7238
11.5,2026-06-05T19:52:16.421174+00:00,55.0368,0.2413,95.7606,0.3269,0.8473,0.0,2400.0,0.0,6.7116
12.0,2026-06-05T19:52:16.921145+00:00,55.0514,0.1855,95.9317,0.2512,0.8473,0.0,2400.0,0.0,6.7057
12.5,2026-06-05T19:52:17.427765+00:00,55.1899,0.2062,96.1789,0.2702,0.8473,0.0,2400.0,0.0,6.6516
13.0,2026-06-05T19:52:17.922232+00:00,55.4237,0.2858,96.1375,0.2386,0.8473,0.0,2400.0,0.0,6.6252
13.5,2026-06-05T19:52:18.421194+00:00,55.6033,0.2833,96.1983,0.2142,0.8473,0.0,2400.0,0.0,6.6123
14.0,2026-06-05T19:52:18.921694+00:00,55.7414,0.345,96.1524,0.1646,0.8473,0.0,2400.0,0.0,6.606
14.5,2026-06-05T19:52:19.422238+00:00,55.8475,0.3288,96.1171,0.1188,0.8473,0.0,2400.0,0.0,6.6029
15.0,2026-06-05T19:52:19.926154+00:00,55.9291,0.2527,96.1132,0.0605,0.8473,0.0,2400.0,0.0,6.6014
15.5,2026-06-05T19:52:20.421181+00:00,56.119,0.2579,96.087,-0.0306,0.8473,0.0,2400.0,0.0,6.6007
16.0,2026-06-05T19:52:20.922302+00:00,56.3923,0.3255,96.0668,-0.0236,0.8473,0.0,2400.0,0.0,6.6003
16.5,2026-06-05T19:52:21.421604+00:00,56.2205,0.1865,96.0514,-0.049,0.8473,0.0,2400.0,0.0,6.549
17.0,2026-06-05T19:52:21.921510+00:00,56.3431,0.207,96.0395,-0.0376,0.8473,0.0,2400.0,0.0,6.5239
17.5,2026-06-05T19:52:22.426286+00:00,56.5645,0.2227,96.0304,-0.0289,0.8473,0.0,2400.0,0.0,6.5117
18.0,2026-06-05T19:52:22.921400+00:00,56.6074,0.1076,96.0233,-0.0299,0.8473,0.0,2400.0,0.0,6.5057
18.5,2026-06-05T19:52:23.421965+00:00,56.6404,0.2099,96.1336,0.0156,0.8473,0.0,2400.0,0.0,6.5028
19.001523,2026-06-05T19:52:23.922630+00:00,56.9203,0.2886,96.1258,0.0197,0.8473,0.0,2400.0,0.0,6.5014
19.5,2026-06-05T19:52:24.421095+00:00,57.0082,0.2218,96.0736,0.0074,0.8473,0.0,2400.0,0.0,6.4495
20.0,2026-06-05T19:52:24.924984+00:00,56.9484,0.1705,96.288,0.0828,0.8473,0.0,2400.0,0.0,6.4241
20.5,2026-06-05T19:52:25.421764+00:00,56.7752,0.0674,96.2213,0.0637,0.8473,0.0,2400.0,0.0,6.4118
21.0,2026-06-05T19:52:25.922288+00:00,56.8967,-0.0118,96.1701,0.0489,0.8473,0.0,2400.0,0.0,6.4057
21.5,2026-06-05T19:52:26.421884+00:00,57.1173,0.0546,96.2464,0.0376,0.8473,0.0,2400.0,0.0,6.4028
22.0,2026-06-05T19:52:26.921495+00:00,57.2868,0.1692,96.1894,0.0212,0.8473,0.0,2400.0,0.0,6.4014
22.5,2026-06-05T19:52:27.425747+00:00,57.1626,0.1937,96.2613,0.0626,0.8473,0.0,2400.0,0.0,6.4007
23.0,2026-06-05T19:52:27.921191+00:00,57.3217,0.2125,96.3165,0.0095,0.8473,0.0,2400.0,0.0,6.4003
23.5,2026-06-05T19:52:28.421094+00:00,57.4439,0.1633,96.4747,0.0845,0.8473,0.0,2400.0,0.0,6.4002
24.000773,2026-06-05T19:52:28.922109+00:00,57.2833,-0.0017,96.4805,0.1035,0.8473,0.0,2400.0,0.0,6.4001
24.5,2026-06-05T19:52:29.421405+00:00,57.669,0.2532,96.485,0.0795,0.8473,0.0,2400.0,0.0,6.4
25.0,2026-06-05T19:52:29.925221+00:00,57.8382,0.2582,96.4885,0.0997,0.8473,0.0,2400.0,0.0,6.4
25.5,2026-06-05T19:52:30.423355+00:00,58.0954,0.3258,96.4912,0.0766,0.8473,0.0,2400.0,0.0,6.4
26.0,2026-06-05T19:52:30.921136+00:00,58.1659,0.4413,96.3775,0.0203,0.8473,0.0,2400.0,0.0,6.4
26.5,2026-06-05T19:52:31.421652+00:00,58.2201,0.2755,96.4059,-0.0229,0.8473,0.0,2400.0,0.0,6.4
27.0,2026-06-05T19:52:31.921914+00:00,58.2617,0.2118,96.4045,-0.0253,0.8473,0.0,2400.0,0.0,6.4
27.5,2026-06-05T19:52:32.426626+00:00,58.421,0.1628,96.3109,-0.058,0.8473,0.0,2400.0,0.0,6.3488
28.0,2026-06-05T19:52:32.921080+00:00,58.5434,0.1887,96.4704,-0.006,0.8473,0.0,2400.0,0.0,6.375
28.5,2026-06-05T19:52:33.421430+00:00,58.6375,0.2087,96.5929,0.0339,0.8473,0.0,2400.0,0.0,6.3878
29.0,2026-06-05T19:52:33.921105+00:00,58.8371,0.2877,96.4557,0.0261,0.8473,0.0,2400.0,0.0,6.394
29.5,2026-06-05T19:52:34.421141+00:00,58.7359,0.1575,96.466,0.02,0.8473,0.0,2400.0,0.0,6.3971
30.0,2026-06-05T19:52:34.926532+00:00,58.9127,0.1847,96.4738,0.0231,0.8473,0.0,2400.0,0.0,6.3986
30.5,2026-06-05T19:52:35.421166+00:00,58.9214,0.1419,96.5956,0.0949,0.8473,0.0,2400.0,0.0,6.3993
31.0,2026-06-05T19:52:35.921122+00:00,59.0553,0.1091,96.4578,-0.0042,0.8473,0.0,2400.0,0.0,6.3997
31.5,2026-06-05T19:52:36.421235+00:00,59.0309,0.1475,96.5832,-0.0032,0.8473,0.0,2400.0,0.0,6.3998
32.0,2026-06-05T19:52:36.921931+00:00,59.1395,0.1134,96.4251,-0.0102,0.8473,0.0,2400.0,0.0,6.3999
32.5,2026-06-05T19:52:37.426267+00:00,59.0956,0.0871,96.4425,-0.0078,0.8473,0.0,2400.0,0.0,6.3488
33.0,2026-06-05T19:52:37.921934+00:00,59.0619,0.0033,96.4558,-0.006,0.8473,0.0,2400.0,0.0,6.375
33.5,2026-06-05T19:52:38.421682+00:00,59.1633,0.0662,96.3735,-0.074,0.8473,0.0,2400.0,0.0,6.3366
34.0,2026-06-05T19:52:38.923328+00:00,59.2412,0.0509,96.1713,-0.0955,0.8473,0.0,2400.0,0.0,6.3179
34.5,2026-06-05T19:52:39.422553+00:00,59.3011,0.1027,96.2474,-0.112,0.8473,0.0,2400.0,0.0,6.3087
35.0,2026-06-05T19:52:39.930600+00:00,59.4744,0.2062,96.4215,-0.0012,0.8473,0.0,2400.0,0.0,6.3043
35.5,2026-06-05T19:52:40.421654+00:00,59.7349,0.2858,96.4397,-0.0009,0.8473,0.0,2400.0,0.0,6.3021
36.0,2026-06-05T19:52:40.921170+00:00,59.8078,0.2833,96.4537,-0.0007,0.8473,0.0,2400.0,0.0,6.301
36.5,2026-06-05T19:52:41.421269+00:00,59.6093,0.1541,96.233,-0.0468,0.8473,0.0,2400.0,0.0,6.3005
37.0,2026-06-05T19:52:41.921835+00:00,59.8385,0.1821,96.2948,0.0411,0.8473,0.0,2400.0,0.0,6.249
37.5,2026-06-05T19:52:42.430306+00:00,59.8875,0.0763,96.2266,-0.0069,0.8473,0.0,2400.0,0.0,6.2239
38.0,2026-06-05T19:52:42.922430+00:00,60.0524,0.1223,96.2898,-0.0439,0.8473,0.0,2400.0,0.0,6.2629
38.5,2026-06-05T19:52:43.421124+00:00,60.0518,0.2213,96.2228,-0.0723,0.8473,0.0,2400.0,0.0,6.2307
39.0,2026-06-05T19:52:43.921433+00:00,60.1787,0.1701,96.2869,-0.0556,0.8473,0.0,2400.0,0.0,6.215
39.5,2026-06-05T19:52:44.421144+00:00,60.2762,0.1943,96.1974,-0.0119,0.8473,0.0,2400.0,0.0,6.2073
40.0,2026-06-05T19:52:44.925582+00:00,60.3511,0.1494,96.2674,-0.0091,0.8473,0.0,2400.0,0.0,6.2036
40.5,2026-06-05T19:52:45.421562+00:00,60.1542,0.0512,96.3212,0.0316,0.8473,0.0,2400.0,0.0,6.2529
41.0,2026-06-05T19:52:45.921122+00:00,60.3846,0.103,96.2469,-0.0143,0.8473,0.0,2400.0,0.0,6.277
41.5,2026-06-05T19:52:46.421420+00:00,60.5617,0.1428,96.3055,0.0276,0.8473,0.0,2400.0,0.0,6.2888
42.0,2026-06-05T19:52:46.921747+00:00,60.4433,0.0461,96.2348,-0.0174,0.8473,0.0,2400.0,0.0,6.2945
42.5,2026-06-05T19:52:47.429787+00:00,60.6068,0.2263,96.273,0.0252,0.8473,0.0,2400.0,0.0,6.2973
43.0,2026-06-05T19:52:47.921104+00:00,60.7325,0.174,96.2098,-0.0192,0.8473,0.0,2400.0,0.0,6.3499
43.5,2026-06-05T19:52:48.421089+00:00,60.8291,0.1337,96.1613,-0.0533,0.8473,0.0,2400.0,0.0,6.3756
44.0,2026-06-05T19:52:48.921122+00:00,60.9034,0.23,96.2397,-0.0024,0.8473,0.0,2400.0,0.0,6.3881
44.5,2026-06-05T19:52:49.421165+00:00,60.9604,0.1768,96.1842,-0.0404,0.8473,0.0,2400.0,0.0,6.3942
45.0,2026-06-05T19:52:49.937504+00:00,61.0043,0.1359,96.1416,-0.0311,0.8473,0.0,2400.0,0.0,6.3972
45.5,2026-06-05T19:52:50.421267+00:00,61.1653,0.1681,96.1088,-0.0547,0.8473,0.0,2400.0,0.0,6.3474
46.0,2026-06-05T19:52:50.921177+00:00,61.0345,0.0656,96.0836,-0.0421,0.8473,0.0,2400.0,0.0,6.3231
46.5,2026-06-05T19:52:51.421254+00:00,61.1885,0.114,95.9486,-0.0709,0.8473,0.0,2400.0,0.0,6.3113
47.0,2026-06-05T19:52:51.921157+00:00,61.0523,0.024,95.9373,-0.1008,0.8473,0.0,2400.0,0.0,6.3055
47.5,2026-06-05T19:52:52.428179+00:00,61.0749,-0.0452,96.0907,-0.0312,0.8473,0.0,2400.0,0.0,6.3027
48.0,2026-06-05T19:52:52.921963+00:00,60.965,-0.0347,96.1854,0.0146,0.8473,0.0,2400.0,0.0,6.3013
48.5,2026-06-05T19:52:53.421147+00:00,61.1351,-0.0267,96.0268,-0.0273,0.8473,0.0,2400.0,0.0,6.3006
49.0,2026-06-05T19:52:53.921336+00:00,61.1385,0.0431,96.0206,-0.021,0.8473,0.0,2400.0,0.0,6.3003
49.5,2026-06-05T19:52:54.421264+00:00,61.2685,0.0968,96.039,0.0301,0.8473,0.0,2400.0,0.0,6.3002
50.0,2026-06-05T19:52:54.930792+00:00,61.4956,0.2653,96.03,0.0309,0.8473,0.0,2400.0,0.0,6.3001
50.5,2026-06-05T19:52:55.421150+00:00,61.4156,0.1403,96.023,-0.0226,0.8473,0.0,2400.0,0.0,6.3512
51.0,2026-06-05T19:52:55.921465+00:00,61.3542,0.1078,96.0177,-0.0559,0.8473,0.0,2400.0,0.0,6.3762
51.5,2026-06-05T19:52:56.421888+00:00,61.5615,0.1465,96.0367,0.0033,0.8473,0.0,2400.0,0.0,6.3884
52.0,2026-06-05T19:52:56.921230+00:00,61.7208,0.1126,96.0282,0.0025,0.8473,0.0,2400.0,0.0,6.3431
52.5,2026-06-05T19:52:57.424939+00:00,61.4614,0.0229,96.0217,-0.0058,0.8473,0.0,2400.0,0.0,6.321
53.0,2026-06-05T19:52:57.921429+00:00,61.6439,0.1449,96.1324,0.0341,0.8473,0.0,2400.0,0.0,6.3615
53.500001,2026-06-05T19:52:58.421751+00:00,61.7842,0.1114,96.1017,0.0262,0.8473,0.0,2400.0,0.0,6.3812
54.0,2026-06-05T19:52:58.921147+00:00,61.892,0.0856,96.0782,0.0202,0.8473,0.0,2400.0,0.0,6.3908
54.5,2026-06-05T19:52:59.421596+00:00,61.9748,0.2567,96.1758,0.0464,0.8473,0.0,2400.0,0.0,6.3955
55.0,2026-06-05T19:52:59.925467+00:00,62.1658,0.2609,96.0194,-0.0029,0.8473,0.0,2400.0,0.0,6.3978
55.5,2026-06-05T19:53:00.421901+00:00,62.1852,0.2005,96.0149,-0.0023,0.8473,0.0,2400.0,0.0,6.3989
56.0,2026-06-05T19:53:00.921112+00:00,62.2002,0.1541,95.9189,-0.0712,0.8473,0.0,2400.0,0.0,6.3483
56.5,2026-06-05T19:53:01.422239+00:00,62.2117,0.1185,95.9608,-0.047,0.8473,0.0,2400.0,0.0,6.3236
57.0,2026-06-05T19:53:01.922012+00:00,62.2206,0.0274,95.9699,-0.0361,0.8473,0.0,2400.0,0.0,6.3115
57.5,2026-06-05T19:53:02.428804+00:00,62.2274,0.0211,95.8612,-0.1049,0.8473,0.0,2400.0,0.0,6.3568
58.0,2026-06-05T19:53:02.921195+00:00,62.3599,0.0798,96.009,-0.0035,0.8473,0.0,2400.0,0.0,6.3789
58.5,2026-06-05T19:53:03.421812+00:00,62.4617,0.125,96.0069,-0.0027,0.8473,0.0,2400.0,0.0,6.3897
59.0,2026-06-05T19:53:03.921225+00:00,62.7946,0.287,96.0053,0.0288,0.8473,0.0,2400.0,0.0,6.395
59.5,2026-06-05T19:53:04.425389+00:00,62.9231,0.3478,96.0041,0.0144,0.8473,0.0,2400.0,0.0,6.3976
60.0,2026-06-05T19:53:04.924837+00:00,63.0219,0.331,96.0031,0.0111,0.8473,0.0,2400.0,0.0,6.3988
60.5,2026-06-05T19:53:05.421259+00:00,63.2251,0.3817,95.9793,0.0394,0.8473,0.0,2400.0,0.0,6.3994
61.0,2026-06-05T19:53:05.922805+00:00,63.254,0.2297,95.9841,-0.0083,0.8473,0.0,2400.0,0.0,6.3997
61.5,2026-06-05T19:53:06.421358+00:00,63.2762,0.1766,95.9878,-0.0064,0.8473,0.0,2400.0,0.0,6.3487
62.0,2026-06-05T19:53:06.921175+00:00,63.2933,0.1357,95.8749,-0.0435,0.8473,0.0,2400.0,0.0,6.3749
62.5,2026-06-05T19:53:07.427294+00:00,63.1791,-0.023,96.0195,0.0052,0.8473,0.0,2400.0,0.0,6.3878
63.0,2026-06-05T19:53:07.923274+00:00,63.0914,-0.0813,96.0382,0.0117,0.8473,0.0,2400.0,0.0,6.394
63.5,2026-06-05T19:53:08.421121+00:00,63.2785,0.0012,96.0293,0.0167,0.8473,0.0,2400.0,0.0,6.3971
64.0,2026-06-05T19:53:08.921571+00:00,63.4223,0.0645,96.0225,0.0128,0.8473,0.0,2400.0,0.0,6.3986
64.5,2026-06-05T19:53:09.421631+00:00,63.4056,0.1132,96.0173,0.0099,0.8473,0.0,2400.0,0.0,6.3993
65.0,2026-06-05T19:53:09.927090+00:00,63.52,0.2143,96.0133,0.0461,0.8473,0.0,2400.0,0.0,6.3997
65.5,2026-06-05T19:53:10.422162+00:00,63.6079,0.1647,96.0102,-0.0031,0.8473,0.0,2400.0,0.0,6.3998
66.0,2026-06-05T19:53:10.921145+00:00,63.5482,0.063,96.031,-0.0024,0.8473,0.0,2400.0,0.0,6.3999
66.5,2026-06-05T19:53:11.421871+00:00,63.5024,0.0484,96.0238,-0.0018,0.8473,0.0,2400.0,0.0,6.4
67.0,2026-06-05T19:53:11.921765+00:00,63.5944,0.0372,95.9026,-0.04,0.8473,0.0,2400.0,0.0,6.3488
67.5,2026-06-05T19:53:12.427570+00:00,63.6651,0.0286,95.9252,-0.0307,0.8473,0.0,2400.0,0.0,6.3238
68.0,2026-06-05T19:53:12.921167+00:00,63.5922,0.022,95.9425,-0.0236,0.8473,0.0,2400.0,0.0,6.3628
68.5,2026-06-05T19:53:13.421279+00:00,63.7907,0.1442,96.0483,0.0127,0.8473,0.0,2400.0,0.0,6.3307
69.0,2026-06-05T19:53:13.922514+00:00,63.816,0.1108,95.8983,-0.0442,0.8473,0.0,2400.0,0.0,6.315
69.5,2026-06-05T19:53:14.422349+00:00,63.8354,0.0852,95.8061,-0.0726,0.8473,0.0,2400.0,0.0,6.3073
70.0,2026-06-05T19:53:14.927884+00:00,63.9776,0.1927,95.9667,0.0214,0.8473,0.0,2400.0,0.0,6.3036
70.5,2026-06-05T19:53:15.421785+00:00,64.2142,0.2118,95.9744,0.0164,0.8473,0.0,2400.0,0.0,6.3017
71.0,2026-06-05T19:53:15.921322+00:00,64.396,0.29,95.7258,-0.0722,0.8473,0.0,2400.0,0.0,6.3008
71.5,2026-06-05T19:53:16.421312+00:00,64.2813,0.2229,95.7892,-0.0864,0.8473,0.0,2400.0,0.0,6.3004
72.0,2026-06-05T19:53:16.922494+00:00,64.3203,0.1713,95.838,-0.0201,0.8473,0.0,2400.0,0.0,6.3002
72.5,2026-06-05T19:53:17.526537+00:00,64.3503,0.0681,95.8755,0.0231,0.8473,0.0,2400.0,0.0,6.3001
73.0,2026-06-05T19:53:17.921157+00:00,64.5007,0.0523,95.6729,-0.0979,0.8473,0.0,2400.0,0.0,6.3
73.5,2026-06-05T19:53:18.421131+00:00,64.6162,0.1675,95.656,-0.1061,0.8473,0.0,2400.0,0.0,6.3
74.0,2026-06-05T19:53:18.921772+00:00,64.5777,0.1287,95.6431,-0.0276,0.8473,0.0,2400.0,0.0,6.3
74.5,2026-06-05T19:53:19.421288+00:00,64.5482,0.0989,95.8414,0.0174,0.8473,0.0,2400.0,0.0,6.3
75.0,2026-06-05T19:53:19.926420+00:00,64.3982,-0.0512,95.6235,-0.0715,0.8473,0.0,2400.0,0.0,6.3
75.5,2026-06-05T19:53:20.421482+00:00,64.5375,-0.0394,95.7106,-0.0549,0.8473,0.0,2400.0,0.0,6.3
76.0,2026-06-05T19:53:20.921295+00:00,64.6445,0.0334,95.8702,0.0658,0.8473,0.0,2400.0,0.0,6.3
76.5,2026-06-05T19:53:21.421622+00:00,64.854,0.1529,95.7382,0.0274,0.8473,0.0,2400.0,0.0,6.3
77.0,2026-06-05T19:53:21.921133+00:00,64.8878,0.2448,95.7988,0.0519,0.8473,0.0,2400.0,0.0,6.3
77.5,2026-06-05T19:53:22.425666+00:00,65.041,0.2518,95.8454,0.0013,0.8473,0.0,2400.0,0.0,6.3
78.0,2026-06-05T19:53:22.921281+00:00,65.0315,0.1935,95.8811,0.0859,0.8473,0.0,2400.0,0.0,6.3
78.5,2026-06-05T19:53:23.421215+00:00,65.1515,0.1487,95.9086,0.066,0.8473,0.0,2400.0,0.0,6.3
79.0,2026-06-05T19:53:23.921177+00:00,64.9892,0.0507,95.7909,-0.0264,0.8473,0.0,2400.0,0.0,6.3
79.5,2026-06-05T19:53:24.422997+00:00,65.119,0.039,95.8393,0.0337,0.8473,0.0,2400.0,0.0,6.3
80.0,2026-06-05T19:53:24.926364+00:00,65.2187,0.0936,95.8765,0.0259,0.8473,0.0,2400.0,0.0,6.3
80.5,2026-06-05T19:53:25.421206+00:00,65.2954,0.0719,95.8125,-0.0109,0.8473,0.0,2400.0,0.0,6.3
81.0,2026-06-05T19:53:25.921105+00:00,65.3543,0.1826,95.8559,-0.0084,0.8473,0.0,2400.0,0.0,6.3
81.5,2026-06-05T19:53:26.421115+00:00,65.3996,0.1403,96.0049,0.0321,0.8473,0.0,2400.0,0.0,6.3
82.0,2026-06-05T19:53:26.921174+00:00,65.3071,0.0442,96.0269,0.0787,0.8473,0.0,2400.0,0.0,6.3
82.5,2026-06-05T19:53:27.427079+00:00,65.6179,0.1612,95.8587,0.0065,0.8473,0.0,2400.0,0.0,6.3
83.0,2026-06-05T19:53:27.921199+00:00,65.7294,0.1876,96.0071,0.0435,0.8473,0.0,2400.0,0.0,6.3512
83.5,2026-06-05T19:53:28.422706+00:00,65.8152,0.2078,96.0055,0.0643,0.8473,0.0,2400.0,0.0,6.3762
84.0,2026-06-05T19:53:28.921131+00:00,65.8811,0.287,95.8885,0.0109,0.8473,0.0,2400.0,0.0,6.3884
84.5,2026-06-05T19:53:29.421233+00:00,65.9317,0.1569,95.9143,-0.0302,0.8473,0.0,2400.0,0.0,6.3431
85.0,2026-06-05T19:53:29.927487+00:00,66.0979,0.1843,96.0498,0.0076,0.8473,0.0,2400.0,0.0,6.321
85.5,2026-06-05T19:53:30.421116+00:00,66.2257,0.2053,95.8763,0.0059,0.8473,0.0,2400.0,0.0,6.3103
86.0,2026-06-05T19:53:30.921157+00:00,66.3239,0.2214,95.8124,-0.0649,0.8473,0.0,2400.0,0.0,6.305
86.5,2026-06-05T19:53:31.421183+00:00,66.3993,0.2338,95.8558,-0.0499,0.8473,0.0,2400.0,0.0,6.3024
87.0,2026-06-05T19:53:31.921148+00:00,66.4573,0.1797,95.8892,0.0002,0.8473,0.0,2400.0,0.0,6.3012
87.5,2026-06-05T19:53:32.427837+00:00,66.3747,0.0745,95.9148,0.0002,0.8473,0.0,2400.0,0.0,6.3006
88.0,2026-06-05T19:53:32.921102+00:00,66.3111,-0.0064,95.9345,-0.0384,0.8473,0.0,2400.0,0.0,6.3003
88.5,2026-06-05T19:53:33.421110+00:00,66.5168,0.0587,96.0654,0.063,0.8473,0.0,2400.0,0.0,6.3001
89.0,2026-06-05T19:53:33.921551+00:00,66.4203,-0.0185,96.0502,0.0793,0.8473,0.0,2400.0,0.0,6.3001
89.5,2026-06-05T19:53:34.421113+00:00,66.6008,0.1131,95.9229,0.0224,0.8473,0.0,2400.0,0.0,6.3
90.0,2026-06-05T19:53:34.925409+00:00,66.4849,0.0869,96.0565,0.0558,0.8473,0.0,2400.0,0.0,6.3
90.5,2026-06-05T19:53:35.421362+00:00,66.5231,0.0031,96.0434,0.0429,0.8473,0.0,2400.0,0.0,6.2488
91.0,2026-06-05T19:53:35.921734+00:00,66.5525,0.0661,96.0102,0.0252,0.8473,0.0,2400.0,0.0,6.275
