epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1360.2,1.6134,1.64125,1.49607,0.66647,0.42495,0.41965,0.21202,1.52904,1.47086,1.48968,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1402.2,1.61691,1.61989,1.50383,0.68298,0.42625,0.4277,0.21954,1.54842,1.51701,1.52185,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1444,1.61565,1.61347,1.49202,0.69666,0.41214,0.43775,0.22577,1.51434,1.50543,1.49279,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1485.38,1.60216,1.60422,1.49385,0.66917,0.4419,0.43395,0.22341,1.5195,1.48826,1.49976,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1527.37,1.59138,1.59768,1.48925,0.61553,0.43232,0.4116,0.21262,1.51826,1.50752,1.49948,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1569.72,1.59221,1.60684,1.47623,0.70574,0.41864,0.42144,0.22485,1.5281,1.4771,1.49451,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1611.43,1.58571,1.57839,1.47694,0.69692,0.4162,0.43531,0.22803,1.56264,1.4946,1.51855,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1653.2,1.58006,1.58468,1.47768,0.54359,0.48441,0.44118,0.23769,1.52936,1.50898,1.49481,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1694.95,1.5821,1.58166,1.46778,0.69783,0.40268,0.42092,0.21825,1.52856,1.5135,1.48011,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1736.61,1.58537,1.55967,1.47598,0.66789,0.42403,0.41943,0.21842,1.54954,1.55057,1.51147,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1778.47,1.5878,1.58766,1.47568,0.68702,0.39192,0.40584,0.21082,1.55865,1.61924,1.49502,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1820.37,1.57936,1.55321,1.46287,0.62125,0.48777,0.45154,0.24655,1.52021,1.46318,1.49161,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1862.35,1.57105,1.54812,1.46051,0.67944,0.41352,0.4278,0.23132,1.48157,1.47586,1.46281,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1904.23,1.58353,1.55555,1.46201,0.6975,0.4148,0.43667,0.23455,1.51429,1.434,1.47659,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1946.17,1.57471,1.54852,1.45923,0.68809,0.44892,0.45669,0.24286,1.49895,1.4222,1.47232,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1987.78,1.561,1.52994,1.44966,0.69901,0.43253,0.45061,0.24412,1.50594,1.4101,1.46869,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2029.71,1.55304,1.50709,1.43997,0.66545,0.42965,0.428,0.22088,1.54987,1.43332,1.5033,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2071.74,1.55479,1.52839,1.44781,0.67469,0.4359,0.46189,0.24807,1.47887,1.41634,1.43829,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2113.57,1.53421,1.50311,1.43172,0.73538,0.40121,0.4635,0.23853,1.56277,1.47106,1.49992,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2155.62,1.54257,1.51558,1.43141,0.70023,0.41278,0.42427,0.22589,1.53078,1.43721,1.48148,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2197.61,1.5424,1.48509,1.43021,0.68747,0.41231,0.43776,0.23254,1.53305,1.4271,1.49451,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2239.71,1.53037,1.50959,1.43047,0.68708,0.4228,0.43671,0.2375,1.49288,1.45876,1.45683,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2281.85,1.54195,1.48946,1.43167,0.43316,0.42598,0.44459,0.23373,1.50763,1.4018,1.47151,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2323.45,1.53518,1.5002,1.44153,0.62432,0.43045,0.47767,0.26215,1.47513,1.39086,1.47283,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2365.85,1.52096,1.47985,1.42843,0.59181,0.49082,0.44673,0.24496,1.50359,1.44812,1.47222,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2407.68,1.52796,1.47499,1.43579,0.64628,0.43539,0.46192,0.24708,1.48478,1.37927,1.46961,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,2449.25,1.5147,1.46011,1.43047,0.55961,0.46916,0.46175,0.24222,1.47383,1.39106,1.45812,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,2491.04,1.50819,1.45555,1.41953,0.38723,0.50242,0.46202,0.25111,1.46284,1.36562,1.44817,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,2532.96,1.52096,1.44879,1.4259,0.58743,0.47658,0.47148,0.25323,1.49338,1.35452,1.47292,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,2575.07,1.51823,1.45278,1.41785,0.61022,0.49066,0.47819,0.262,1.50795,1.34587,1.4848,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,2617.3,1.50133,1.43549,1.41491,0.71762,0.40182,0.45866,0.24056,1.493,1.38558,1.45898,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,2659.19,1.5266,1.45802,1.4281,0.54444,0.47075,0.47833,0.26077,1.50465,1.33764,1.48232,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,2700.86,1.51997,1.45727,1.427,0.71154,0.41681,0.46279,0.24612,1.50973,1.37342,1.48477,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,2742.85,1.50341,1.4302,1.41825,0.49742,0.40932,0.45047,0.24824,1.58682,1.52523,1.52402,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,2784.73,1.50611,1.4408,1.40954,0.49941,0.46499,0.46318,0.25675,1.47327,1.35667,1.44062,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,2826.57,1.49934,1.43152,1.40308,0.53433,0.48595,0.47955,0.25611,1.50488,1.33322,1.47095,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,2869.17,1.49397,1.41269,1.40458,0.62161,0.43467,0.47427,0.24879,1.47058,1.42782,1.44842,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,2911.36,1.49756,1.41057,1.40851,0.59991,0.47883,0.50133,0.27432,1.50277,1.29889,1.46513,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,2953.96,1.49535,1.40632,1.39547,0.52533,0.45967,0.47631,0.24982,1.48696,1.37087,1.46394,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,2996.05,1.47876,1.40126,1.39111,0.48788,0.48295,0.47499,0.25946,1.49794,1.38275,1.46135,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,3038.14,1.48466,1.39079,1.39396,0.49619,0.50254,0.49483,0.26531,1.5045,1.38427,1.46005,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,3080.21,1.48754,1.39479,1.39208,0.52606,0.47418,0.50706,0.26625,1.48749,1.33797,1.44253,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,3122.89,1.48012,1.38616,1.393,0.56308,0.48612,0.49925,0.27892,1.44815,1.27319,1.43839,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,3164.81,1.46809,1.36987,1.38712,0.64347,0.46806,0.49239,0.26409,1.52608,1.33921,1.47091,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,3206.82,1.47077,1.37963,1.38556,0.62706,0.398,0.46906,0.25576,1.49725,1.41243,1.4563,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,3249.14,1.4821,1.37446,1.38662,0.71718,0.44272,0.47862,0.26004,1.48159,1.34343,1.45871,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,3291.5,1.46529,1.3769,1.38982,0.49241,0.48741,0.48372,0.26012,1.5366,1.31372,1.48735,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,3333.84,1.4618,1.36251,1.38551,0.5551,0.52593,0.47774,0.25873,1.51752,1.35172,1.48331,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,3376.05,1.46642,1.36593,1.38026,0.57281,0.43435,0.47279,0.26416,1.516,1.30978,1.4739,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,3418.26,1.46495,1.35588,1.37967,0.7161,0.4525,0.48278,0.27345,1.45727,1.26687,1.43939,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,3460.61,1.46391,1.34047,1.38278,0.61461,0.4667,0.49279,0.26328,1.48129,1.31805,1.44275,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,3502.53,1.45173,1.35543,1.37504,0.57415,0.45946,0.49257,0.26944,1.47233,1.29977,1.44541,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,3544.74,1.45613,1.35375,1.37248,0.57118,0.5304,0.4615,0.24595,1.46802,1.36179,1.43581,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,3586.91,1.44847,1.34462,1.36911,0.50417,0.49134,0.47383,0.26167,1.48018,1.31746,1.45633,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,3629.03,1.4423,1.32508,1.36422,0.56535,0.43901,0.48522,0.26939,1.50101,1.30789,1.45956,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,3671.08,1.4461,1.31746,1.36595,0.57432,0.44489,0.50732,0.28058,1.48848,1.28884,1.45732,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,3713.72,1.43905,1.31637,1.36656,0.49963,0.48289,0.49493,0.26993,1.46851,1.29351,1.45944,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,3756.1,1.44437,1.33423,1.36528,0.49783,0.50932,0.49505,0.27555,1.48248,1.30143,1.46211,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,3798.55,1.43049,1.30885,1.35378,0.60477,0.47377,0.49005,0.27153,1.49661,1.29722,1.47119,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,3840.86,1.42277,1.29439,1.35203,0.52361,0.47795,0.50151,0.27914,1.50095,1.28054,1.46992,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,3883.5,1.43975,1.31103,1.36352,0.57649,0.45738,0.50373,0.27871,1.5398,1.31408,1.4958,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,3925.93,1.43688,1.31555,1.35595,0.59175,0.51896,0.50132,0.27608,1.49234,1.28935,1.45262,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,3968.54,1.42311,1.29597,1.35257,0.60844,0.45756,0.48072,0.26606,1.5253,1.35114,1.48013,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,4010.49,1.43684,1.29093,1.35779,0.51916,0.4274,0.47575,0.26398,1.54444,1.32505,1.48127,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,4052.76,1.42643,1.28362,1.35474,0.56684,0.50139,0.50507,0.28148,1.50971,1.25871,1.4774,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,4095.14,1.4247,1.28643,1.35068,0.56475,0.46942,0.50546,0.28591,1.49239,1.27173,1.46291,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,4137.08,1.40618,1.26893,1.33399,0.53754,0.46984,0.50559,0.27592,1.51132,1.28644,1.46394,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,4179.03,1.41482,1.27274,1.34108,0.55618,0.53345,0.50226,0.2773,1.50406,1.29415,1.46639,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,4221.52,1.4182,1.26861,1.34757,0.62091,0.44403,0.49758,0.27854,1.4919,1.26417,1.4609,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,4263.91,1.41084,1.27629,1.34166,0.54191,0.4429,0.47152,0.26041,1.49786,1.3047,1.46565,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,4306.07,1.40893,1.25577,1.33822,0.49713,0.46891,0.48148,0.26976,1.47703,1.28105,1.44068,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,4347.98,1.4098,1.26932,1.3384,0.50737,0.46911,0.49748,0.27856,1.46862,1.27866,1.43937,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,4390.31,1.40474,1.25424,1.33236,0.44046,0.53083,0.49231,0.27151,1.53245,1.32026,1.4655,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,4432.42,1.3999,1.25048,1.32467,0.56578,0.4876,0.52632,0.29131,1.50087,1.24232,1.44428,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,4475.25,1.39743,1.24345,1.32725,0.64552,0.45013,0.52407,0.28991,1.51108,1.25109,1.45184,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
