monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.000274,2026-05-06T03:59:11.427384+00:00,46.3,,0.0,,0.8461,,2400.0,,4.9
0.500274,2026-05-06T03:59:12.010697+00:00,46.3,,13.0278,,0.8461,,2400.0,,5.4632
1.000646,2026-05-06T03:59:12.424856+00:00,46.4273,,12.9982,,0.8461,0.0,2400.0,0.0,5.8916
1.5,2026-05-06T03:59:12.925100+00:00,46.9069,,18.2051,,0.8461,0.0,2400.0,0.0,6.7151
2.0,2026-05-06T03:59:13.424298+00:00,47.7846,0.7423,36.2069,,0.8461,0.0,2400.0,0.0,7.117
2.5,2026-05-06T03:59:13.930368+00:00,48.332,1.016,49.6728,,0.8461,0.0,2400.0,0.0,7.3131
3.005806,2026-05-06T03:59:14.430179+00:00,49.0072,1.29,60.1615,20.0538,0.8461,0.0,2400.0,0.0,7.4088
3.5,2026-05-06T03:59:14.924295+00:00,49.6535,1.3733,68.3157,18.4293,0.8461,0.0,2400.0,0.0,7.4555
4.0,2026-05-06T03:59:15.424438+00:00,50.2774,1.2464,74.6987,20.5668,0.8461,0.0,2400.0,0.0,7.4783
4.5,2026-05-06T03:59:15.924267+00:00,50.757,1.2125,79.6278,20.4742,0.8461,0.0,2400.0,0.0,7.4894
5.0,2026-05-06T03:59:16.428857+00:00,51.1256,1.0592,83.532,15.7751,0.8461,0.0,2400.0,0.0,7.4948
5.5,2026-05-06T03:59:16.924310+00:00,51.6635,1.005,86.394,12.2404,0.8461,0.0,2400.0,0.0,7.4975
6.0,2026-05-06T03:59:17.424306+00:00,51.9496,0.8361,88.7094,9.516,0.8461,0.0,2400.0,0.0,7.4988
6.5,2026-05-06T03:59:17.924299+00:00,52.0423,0.6426,90.2807,7.3217,0.8461,0.0,2400.0,0.0,7.4994
7.0,2026-05-06T03:59:18.424264+00:00,52.2407,0.5576,91.6042,5.6352,0.8461,0.0,2400.0,0.0,7.4997
7.5,2026-05-06T03:59:18.932453+00:00,52.7751,0.5558,92.7371,4.3697,0.8461,0.0,2400.0,0.0,7.4487
8.0,2026-05-06T03:59:19.424374+00:00,53.0585,0.5545,93.3764,3.2815,0.8461,0.0,2400.0,0.0,7.4237
8.5,2026-05-06T03:59:19.924845+00:00,53.4037,0.6807,93.729,2.445,0.8461,0.0,2400.0,0.0,7.3604
9.0,2026-05-06T03:59:20.426362+00:00,53.5417,0.6505,94.0231,1.7712,0.8461,0.0,2400.0,0.0,7.3295
9.5,2026-05-06T03:59:20.924262+00:00,54.0295,0.6272,94.4805,1.3999,0.8461,0.0,2400.0,0.0,7.2632
10.0,2026-05-06T03:59:21.428139+00:00,54.0227,0.4821,94.8553,1.0837,0.8461,0.0,2400.0,0.0,7.2308
10.5,2026-05-06T03:59:21.924991+00:00,54.272,0.4342,95.1202,0.7944,0.8461,0.0,2400.0,0.0,7.1638
11.0,2026-05-06T03:59:22.424667+00:00,54.209,0.3337,95.4395,0.6877,0.8461,0.0,2400.0,0.0,7.1312
11.5,2026-05-06T03:59:22.924298+00:00,54.5425,0.2565,95.546,0.6057,0.8461,0.0,2400.0,0.0,7.1152
12.0,2026-05-06T03:59:23.424285+00:00,54.6715,0.3244,95.7899,0.5889,0.8461,0.0,2400.0,0.0,7.1074
12.5,2026-05-06T03:59:23.930957+00:00,55.0252,0.3766,95.8154,0.445,0.8461,0.0,2400.0,0.0,7.0524
13.0,2026-05-06T03:59:24.424376+00:00,55.297,0.544,95.997,0.3806,0.8461,0.0,2400.0,0.0,7.0256
13.5,2026-05-06T03:59:24.924333+00:00,55.3787,0.4181,95.882,0.2539,0.8461,0.0,2400.0,0.0,7.0125
14.0,2026-05-06T03:59:25.424366+00:00,55.187,0.2577,96.0018,0.1875,0.8461,0.0,2400.0,0.0,7.0061
14.5,2026-05-06T03:59:25.924319+00:00,55.2941,0.1345,96.0014,0.1518,0.8461,0.0,2400.0,0.0,6.9518
15.0,2026-05-06T03:59:26.428979+00:00,55.5037,0.1033,96.0936,0.1012,0.8461,0.0,2400.0,0.0,6.9253
15.5,2026-05-06T03:59:26.926755+00:00,55.6648,0.1431,95.9794,0.0547,0.8461,0.0,2400.0,0.0,6.8611
16.0,2026-05-06T03:59:27.424275+00:00,55.7887,0.3009,96.0767,0.0266,0.8461,0.0,2400.0,0.0,6.8298
16.5,2026-05-06T03:59:27.924253+00:00,56.0111,0.3585,96.0358,0.0513,0.8461,0.0,2400.0,0.0,6.8146
17.0,2026-05-06T03:59:28.424355+00:00,56.0548,0.2756,96.0275,0.0086,0.8461,0.0,2400.0,0.0,6.8071
17.5,2026-05-06T03:59:28.930994+00:00,56.0884,0.2118,96.0212,0.0066,0.8461,0.0,2400.0,0.0,6.7523
18.0,2026-05-06T03:59:29.426326+00:00,56.2415,0.2264,95.9006,-0.0644,0.8461,0.0,2400.0,0.0,6.7255
18.5,2026-05-06T03:59:29.924954+00:00,56.2319,0.1104,96.0393,0.02,0.8461,0.0,2400.0,0.0,6.7636
19.0,2026-05-06T03:59:30.426097+00:00,56.3518,0.1485,96.0302,-0.0155,0.8461,0.0,2400.0,0.0,6.7311
19.5,2026-05-06T03:59:30.924806+00:00,56.4439,0.1778,96.1389,0.0344,0.8461,0.0,2400.0,0.0,6.7152
20.0,2026-05-06T03:59:31.428806+00:00,56.642,0.2003,96.1068,0.0264,0.8461,0.0,2400.0,0.0,6.7074
20.5,2026-05-06T03:59:31.924267+00:00,56.7943,0.2812,96.0821,0.0203,0.8461,0.0,2400.0,0.0,6.7036
21.0,2026-05-06T03:59:32.424292+00:00,56.5295,0.0889,96.0631,0.0542,0.8461,0.0,2400.0,0.0,6.7018
21.5,2026-05-06T03:59:32.924633+00:00,56.326,-0.059,96.0253,-0.0046,0.8461,0.0,2400.0,0.0,6.7009
22.0,2026-05-06T03:59:33.426832+00:00,56.5514,-0.0453,96.0195,-0.0036,0.8461,0.0,2400.0,0.0,6.6492
22.5,2026-05-06T03:59:33.927964+00:00,56.4701,-0.1621,95.9918,-0.049,0.8461,0.0,2400.0,0.0,6.624
23.0,2026-05-06T03:59:34.424561+00:00,56.6621,0.0663,95.9937,-0.0377,0.8461,0.0,2400.0,0.0,6.6117
23.5,2026-05-06T03:59:34.924261+00:00,56.8097,0.2419,95.9952,-0.029,0.8461,0.0,2400.0,0.0,6.6057
24.0,2026-05-06T03:59:35.424812+00:00,57.1777,0.3132,96.112,0.0163,0.8461,0.0,2400.0,0.0,6.6028
24.5,2026-05-06T03:59:35.924341+00:00,57.3333,0.4316,96.1786,0.0511,0.8461,0.0,2400.0,0.0,6.6014
25.0,2026-05-06T03:59:36.428575+00:00,57.5801,0.459,96.253,0.0778,0.8461,0.0,2400.0,0.0,6.6007
25.5,2026-05-06T03:59:36.924676+00:00,57.6426,0.4164,96.287,0.0984,0.8461,0.0,2400.0,0.0,6.6003
26.0,2026-05-06T03:59:37.424882+00:00,57.8178,0.3201,96.2437,0.0833,0.8461,0.0,2400.0,0.0,6.549
26.5,2026-05-06T03:59:37.924388+00:00,57.8253,0.246,96.3956,0.1335,0.8461,0.0,2400.0,0.0,6.5239
27.0,2026-05-06T03:59:38.424344+00:00,57.831,0.1254,96.4198,0.1026,0.8461,0.0,2400.0,0.0,6.5117
27.5,2026-05-06T03:59:38.928237+00:00,57.9627,0.16,96.4383,0.0866,0.8461,0.0,2400.0,0.0,6.5057
28.0,2026-05-06T03:59:39.425078+00:00,58.0639,0.123,96.3369,0.028,0.8461,0.0,2400.0,0.0,6.554
28.5,2026-05-06T03:59:39.924270+00:00,58.2689,0.2218,96.2589,-0.0094,0.8461,0.0,2400.0,0.0,6.5263
