monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.000273,2026-06-05T18:32:04.308683+00:00,49.05,,0.0,,0.8473,,2400.0,,4.3
0.50026,2026-06-05T18:32:04.890653+00:00,48.9227,,13.9997,,0.8473,,2400.0,,4.9656
1.0,2026-06-05T18:32:05.305437+00:00,48.8249,,13.5138,,0.8473,0.0,2400.0,0.0,5.4952
1.5,2026-06-05T18:32:05.805542+00:00,49.2588,,21.1468,,0.8473,0.0,2400.0,0.0,6.4193
2.0,2026-06-05T18:32:06.305664+00:00,49.9741,0.4621,38.1439,,0.8473,0.0,2400.0,0.0,6.8702
2.5,2026-06-05T18:32:06.809322+00:00,50.7784,0.9278,51.393,,0.8473,0.0,2400.0,0.0,7.0903
3.000951,2026-06-05T18:32:07.306497+00:00,51.3966,1.2859,61.4836,20.4945,0.8473,0.0,2400.0,0.0,7.1976
3.5,2026-06-05T18:32:07.805478+00:00,51.9991,1.3701,69.0773,18.3592,0.8473,0.0,2400.0,0.0,7.2501
4.0,2026-06-05T18:32:08.305579+00:00,52.7166,1.3713,75.0758,20.5207,0.8473,0.0,2400.0,0.0,7.2756
4.5,2026-06-05T18:32:08.805470+00:00,53.0136,1.1176,79.802,19.5517,0.8473,0.0,2400.0,0.0,7.2369
5.0,2026-06-05T18:32:09.313187+00:00,53.4964,1.0499,83.4345,15.0969,0.8473,0.0,2400.0,0.0,7.218
5.5012,2026-06-05T18:32:09.834102+00:00,53.8675,0.9342,86.0182,11.5417,0.8473,0.0,2400.0,0.0,7.2088
6.0,2026-06-05T18:32:10.305514+00:00,54.1527,0.718,88.3049,8.9404,0.8473,0.0,2400.0,0.0,7.2043
6.5,2026-06-05T18:32:10.805763+00:00,54.3719,0.6791,90.0855,7.0027,0.8473,0.0,2400.0,0.0,7.2021
7.0,2026-06-05T18:32:11.305926+00:00,54.6676,0.5856,91.3616,5.4286,0.8473,0.0,2400.0,0.0,7.201
7.5,2026-06-05T18:32:11.814332+00:00,55.0222,0.5774,92.3192,4.1724,0.8473,0.0,2400.0,0.0,7.2005
8.000345,2026-06-05T18:32:12.306057+00:00,54.913,0.3801,93.0552,3.2069,0.8473,0.0,2400.0,0.0,7.2002
8.5,2026-06-05T18:32:12.805492+00:00,55.2108,0.4194,93.8524,2.6114,0.8473,0.0,2400.0,0.0,7.2001
9.0,2026-06-05T18:32:13.305716+00:00,55.567,0.4497,94.2336,1.9763,0.8473,0.0,2400.0,0.0,7.2001
9.5,2026-06-05T18:32:13.805788+00:00,55.968,0.4729,94.5267,1.4804,0.8473,0.0,2400.0,0.0,7.1488
10.0,2026-06-05T18:32:14.310030+00:00,56.1489,0.618,94.5436,1.0607,0.8473,0.0,2400.0,0.0,7.1238
10.5,2026-06-05T18:32:14.806785+00:00,56.288,0.5386,94.7418,0.8075,0.8473,0.0,2400.0,0.0,7.0604
11.0,2026-06-05T18:32:15.305486+00:00,56.3949,0.414,95.1255,0.6901,0.8473,0.0,2400.0,0.0,7.0295
11.5,2026-06-05T18:32:15.805548+00:00,56.6044,0.3182,95.1659,0.4378,0.8473,0.0,2400.0,0.0,7.0144
12.0,2026-06-05T18:32:16.305636+00:00,56.5108,0.1809,95.4746,0.4137,0.8473,0.0,2400.0,0.0,7.007
