monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.000275,2026-05-06T03:18:12.248059+00:00,49.05,,0.0,,0.8473,,2400.0,,4.6
0.500266,2026-05-06T03:18:12.810386+00:00,49.05,,14.3699,,0.8473,,2400.0,,5.0608
1.0,2026-05-06T03:18:13.239227+00:00,48.9227,,14.1224,,0.8473,0.0,2400.0,0.0,5.5417
1.5,2026-05-06T03:18:13.739291+00:00,48.9522,,18.0741,,0.8473,0.0,2400.0,0.0,6.3395
2.0,2026-05-06T03:18:14.239440+00:00,49.7384,0.3442,35.9905,,0.8473,0.0,2400.0,0.0,6.7801
2.5,2026-05-06T03:18:14.743412+00:00,50.5973,0.7736,49.761,,0.8473,0.0,2400.0,0.0,6.9951
3.000969,2026-05-06T03:18:15.266770+00:00,51.1301,1.1037,60.2293,20.0764,0.8473,0.0,2400.0,0.0,7.1
3.5,2026-05-06T03:18:15.739846+00:00,51.9215,1.4847,68.2058,17.9453,0.8473,0.0,2400.0,0.0,7.1512
4.0,2026-05-06T03:18:16.239320+00:00,52.5297,1.3956,74.406,20.0945,0.8473,0.0,2400.0,0.0,7.1762
4.5,2026-05-06T03:18:16.739619+00:00,52.9972,1.2,79.3797,20.4352,0.8473,0.0,2400.0,0.0,7.1884
5.0,2026-05-06T03:18:17.246121+00:00,53.4838,1.1768,83.1099,15.7065,0.8473,0.0,2400.0,0.0,7.1431
5.5,2026-05-06T03:18:17.739922+00:00,53.9851,1.0318,86.0927,12.1106,0.8473,0.0,2400.0,0.0,7.121
6.0,2026-05-06T03:18:18.239334+00:00,54.3703,0.9203,88.5009,9.4239,0.8473,0.0,2400.0,0.0,7.1103
6.5,2026-05-06T03:18:18.739401+00:00,54.7937,0.8982,90.0974,7.2972,0.8473,0.0,2400.0,0.0,7.105
7.0,2026-05-06T03:18:19.239352+00:00,54.9919,0.754,91.3476,5.6472,0.8473,0.0,2400.0,0.0,7.1024
7.5,2026-05-06T03:18:19.743355+00:00,55.1442,0.5795,92.3084,4.3096,0.8473,0.0,2400.0,0.0,7.1012
8.0,2026-05-06T03:18:20.239973+00:00,55.3885,0.5091,93.047,3.3123,0.8473,0.0,2400.0,0.0,7.0494
8.5,2026-05-06T03:18:20.739734+00:00,55.7035,0.4549,93.9617,2.623,0.8473,0.0,2400.0,0.0,7.0241
9.0,2026-05-06T03:18:21.239681+00:00,55.9457,0.4769,94.4334,1.9775,0.8473,0.0,2400.0,0.0,7.0118
9.5,2026-05-06T03:18:21.739352+00:00,56.1318,0.4938,94.8884,1.597,0.8473,0.0,2400.0,0.0,7.0057
10.0,2026-05-06T03:18:22.247746+00:00,56.1476,0.3796,95.1457,1.266,0.8473,0.0,2400.0,0.0,6.9516
10.5,2026-05-06T03:18:22.740326+00:00,56.287,0.2917,95.459,1.0502,0.8473,0.0,2400.0,0.0,6.9764
11.0,2026-05-06T03:18:23.239313+00:00,56.5214,0.2879,95.3297,0.7609,0.8473,0.0,2400.0,0.0,6.9885
11.500001,2026-05-06T03:18:23.739654+00:00,56.7016,0.2849,95.5079,0.5154,0.8473,0.0,2400.0,0.0,6.9944
12.0,2026-05-06T03:18:24.239596+00:00,56.9673,0.4099,95.7144,0.427,0.8473,0.0,2400.0,0.0,6.9461
12.5,2026-05-06T03:18:24.748610+00:00,57.0443,0.3787,95.7805,0.2973,0.8473,0.0,2400.0,0.0,6.9225
13.0,2026-05-06T03:18:25.239385+00:00,57.2307,0.3547,95.8313,0.2285,0.8473,0.0,2400.0,0.0,6.911
13.5,2026-05-06T03:18:25.739331+00:00,57.2468,0.2726,96.1017,0.2142,0.8473,0.0,2400.0,0.0,6.9054
14.0,2026-05-06T03:18:26.239410+00:00,57.2591,0.1459,96.1939,0.2881,0.8473,0.0,2400.0,0.0,6.8514
14.5,2026-05-06T03:18:26.739326+00:00,57.5231,0.2394,96.2416,0.2445,0.8473,0.0,2400.0,0.0,6.8251
15.0,2026-05-06T03:18:27.245584+00:00,57.4715,0.1204,96.1857,0.1571,0.8473,0.0,2400.0,0.0,6.8122
15.5,2026-05-06T03:18:27.739837+00:00,57.6863,0.2198,96.2584,0.1593,0.8473,0.0,2400.0,0.0,6.806
16.000725,2026-05-06T03:18:28.255429+00:00,57.5969,0.1689,95.8978,0.0222,0.8473,0.0,2400.0,0.0,6.8029
16.5,2026-05-06T03:18:28.739476+00:00,57.91,0.1935,96.014,-0.0292,0.8473,0.0,2400.0,0.0,6.8014
17.0,2026-05-06T03:18:29.239285+00:00,58.1507,0.3396,95.9876,-0.0687,0.8473,0.0,2400.0,0.0,6.8007
17.5,2026-05-06T03:18:29.743045+00:00,58.2084,0.261,96.0136,-0.076,0.8473,0.0,2400.0,0.0,6.8003
18.0,2026-05-06T03:18:30.239342+00:00,58.5073,0.4552,96.1262,-0.0198,0.8473,0.0,2400.0,0.0,6.8002
18.501595,2026-05-06T03:18:30.751198+00:00,58.6097,0.3498,96.097,-0.0538,0.8473,0.0,2400.0,0.0,6.7489
19.0,2026-05-06T03:18:31.239430+00:00,58.6885,0.2689,95.9126,0.0049,0.8473,0.0,2400.0,0.0,6.7239
19.5,2026-05-06T03:18:31.739300+00:00,58.749,0.2703,95.9328,-0.0271,0.8473,0.0,2400.0,0.0,6.7116
20.0,2026-05-06T03:18:32.242859+00:00,58.541,0.0168,95.9252,-0.0208,0.8473,0.0,2400.0,0.0,6.7057
20.5,2026-05-06T03:18:32.741379+00:00,58.6356,0.0129,96.0582,0.0149,0.8473,0.0,2400.0,0.0,6.7028
21.0,2026-05-06T03:18:33.241150+00:00,58.7084,0.01,96.0447,-0.0271,0.8473,0.0,2400.0,0.0,6.7014
21.5,2026-05-06T03:18:33.740264+00:00,59.0188,0.1349,96.0575,-0.0131,0.8473,0.0,2400.0,0.0,6.7007
22.0,2026-05-06T03:18:34.239299+00:00,59.2574,0.3582,96.1599,0.0825,0.8473,0.0,2400.0,0.0,6.7003
22.5,2026-05-06T03:18:34.747002+00:00,59.1863,0.2753,96.1229,0.0634,0.8473,0.0,2400.0,0.0,6.7002
23.0,2026-05-06T03:18:35.239356+00:00,59.1316,0.2116,96.187,0.0873,0.8473,0.0,2400.0,0.0,6.7001
23.5,2026-05-06T03:18:35.739388+00:00,59.0896,0.0354,96.2363,0.0594,0.8473,0.0,2400.0,0.0,6.7
24.0,2026-05-06T03:18:36.239508+00:00,59.0573,-0.1001,96.1585,0.0379,0.8473,0.0,2400.0,0.0,6.7
24.5,2026-05-06T03:18:36.739317+00:00,59.1597,-0.0133,96.2375,0.06,0.8473,0.0,2400.0,0.0,6.7512
25.0,2026-05-06T03:18:37.244491+00:00,59.1112,-0.0102,96.2983,0.0461,0.8473,0.0,2400.0,0.0,6.725
25.5,2026-05-06T03:18:37.741019+00:00,59.2012,0.0558,96.3449,0.074,0.8473,0.0,2400.0,0.0,6.7122
26.0,2026-05-06T03:18:38.239453+00:00,59.2703,0.1065,96.2651,0.026,0.8473,0.0,2400.0,0.0,6.706
26.5,2026-05-06T03:18:38.739305+00:00,59.4507,0.1455,96.3195,0.0277,0.8473,0.0,2400.0,0.0,6.7029
27.0,2026-05-06T03:18:39.239331+00:00,59.5894,0.2391,96.2455,0.029,0.8473,0.0,2400.0,0.0,6.7014
27.5,2026-05-06T03:18:39.744929+00:00,59.696,0.2474,96.3044,0.0223,0.8473,0.0,2400.0,0.0,6.7007
28.0,2026-05-06T03:18:40.239738+00:00,59.6506,0.1902,96.3497,0.0171,0.8473,0.0,2400.0,0.0,6.7003
28.5,2026-05-06T03:18:40.740050+00:00,59.8703,0.2098,96.3845,0.0132,0.8473,0.0,2400.0,0.0,6.7514
29.0,2026-05-06T03:18:41.239286+00:00,60.0392,0.2249,96.4112,0.0487,0.8473,0.0,2400.0,0.0,6.7251
29.5,2026-05-06T03:18:41.739310+00:00,60.1689,0.2365,96.4317,0.0374,0.8473,0.0,2400.0,0.0,6.7122
30.0,2026-05-06T03:18:42.243777+00:00,60.2687,0.309,96.3318,0.0288,0.8473,0.0,2400.0,0.0,6.706
30.5,2026-05-06T03:18:42.739345+00:00,60.3454,0.2375,96.2319,-0.0242,0.8473,0.0,2400.0,0.0,6.7029
31.0,2026-05-06T03:18:43.239640+00:00,60.4043,0.1826,96.2939,-0.0186,0.8473,0.0,2400.0,0.0,6.7014
31.5,2026-05-06T03:18:43.739286+00:00,60.4496,0.1403,96.2259,-0.0528,0.8473,0.0,2400.0,0.0,6.7007
32.0,2026-05-06T03:18:44.239297+00:00,60.6116,0.1715,96.2893,-0.0406,0.8473,0.0,2400.0,0.0,6.6491
32.5,2026-05-06T03:18:44.745286+00:00,60.7362,0.1954,96.2224,-0.0698,0.8473,0.0,2400.0,0.0,6.624
33.0,2026-05-06T03:18:45.241099+00:00,60.9592,0.2775,96.2635,-0.0228,0.8473,0.0,2400.0,0.0,6.6117
33.5,2026-05-06T03:18:45.739601+00:00,60.8761,0.2133,96.2025,-0.0098,0.8473,0.0,2400.0,0.0,6.6057
34.0,2026-05-06T03:18:46.239774+00:00,60.8122,0.1003,96.2714,-0.0075,0.8473,0.0,2400.0,0.0,6.5516
34.5,2026-05-06T03:18:46.739414+00:00,61.0177,0.1407,96.3243,0.0328,0.8473,0.0,2400.0,0.0,6.5764
35.0,2026-05-06T03:18:47.244049+00:00,61.1755,0.1082,96.2724,-0.0057,0.8473,0.0,2400.0,0.0,6.5373
35.5,2026-05-06T03:18:47.739500+00:00,61.0424,0.0831,96.325,0.0342,0.8473,0.0,2400.0,0.0,6.5694
36.0,2026-05-06T03:18:48.239448+00:00,60.94,0.0639,96.4812,0.0726,0.8473,0.0,2400.0,0.0,6.6363
36.5,2026-05-06T03:18:48.740188+00:00,61.2431,0.1127,96.3699,0.0558,0.8473,0.0,2400.0,0.0,6.6177
37.0,2026-05-06T03:18:49.239502+00:00,61.3489,0.0867,96.4,0.0429,0.8473,0.0,2400.0,0.0,6.6086
37.5,2026-05-06T03:18:49.746048+00:00,61.5574,0.2575,96.4,0.0252,0.8473,0.0,2400.0,0.0,6.6554
38.0,2026-05-06T03:18:50.239333+00:00,61.7177,0.3888,96.4231,0.0503,0.8473,0.0,2400.0,0.0,6.6782
38.5,2026-05-06T03:18:50.739521+00:00,61.7136,0.2352,96.3021,-0.0077,0.8473,0.0,2400.0,0.0,6.6894
39.0,2026-05-06T03:18:51.239497+00:00,61.7104,0.1808,96.3479,-0.0445,0.8473,0.0,2400.0,0.0,6.6948
39.5,2026-05-06T03:18:51.739371+00:00,61.8353,0.139,96.2674,-0.0342,0.8473,0.0,2400.0,0.0,6.6975
40.0,2026-05-06T03:18:52.243069+00:00,61.9312,0.1068,96.3212,-0.0263,0.8473,0.0,2400.0,0.0,6.6988
40.5,2026-05-06T03:18:52.739289+00:00,61.7505,0.0185,96.2469,-0.051,0.8473,0.0,2400.0,0.0,6.8018
41.0,2026-05-06T03:18:53.239413+00:00,62.1206,0.2051,96.4212,-0.0007,0.8473,0.0,2400.0,0.0,6.8521
41.5,2026-05-06T03:18:53.739288+00:00,62.4051,0.2849,96.3237,0.0072,0.8473,0.0,2400.0,0.0,6.8254
42.0,2026-05-06T03:18:54.239340+00:00,62.3692,0.219,96.2488,-0.033,0.8473,0.0,2400.0,0.0,6.8124
42.5,2026-05-06T03:18:54.743577+00:00,62.3416,0.2956,96.3069,0.0132,0.8473,0.0,2400.0,0.0,6.8061
43.0,2026-05-06T03:18:55.239398+00:00,62.4477,0.1635,96.3516,0.0101,0.8473,0.0,2400.0,0.0,7.059
43.5,2026-05-06T03:18:55.739290+00:00,62.6565,0.1257,96.5016,0.0849,0.8473,0.0,2400.0,0.0,7.1824
44.0,2026-05-06T03:18:56.239349+00:00,62.817,0.2239,96.293,-0.0427,0.8473,0.0,2400.0,0.0,7.1914
44.5,2026-05-06T03:18:56.739349+00:00,62.9403,0.2993,96.3409,0.0057,0.8473,0.0,2400.0,0.0,7.1958
45.0,2026-05-06T03:18:57.254238+00:00,62.9078,0.2301,96.3777,0.043,0.8473,0.0,2400.0,0.0,7.1468
45.5,2026-05-06T03:18:57.739421+00:00,62.7556,0.0496,96.5217,0.0716,0.8473,0.0,2400.0,0.0,7.1228
46.0,2026-05-06T03:18:58.239874+00:00,62.7659,-0.0255,96.6324,0.0936,0.8473,0.0,2400.0,0.0,7.1111
46.5,2026-05-06T03:18:58.739752+00:00,62.6465,-0.1469,96.3704,-0.0438,0.8473,0.0,2400.0,0.0,7.0542
47.0,2026-05-06T03:18:59.239315+00:00,62.682,-0.1129,96.3772,0.0281,0.8473,0.0,2400.0,0.0,7.0265
47.5,2026-05-06T03:18:59.844001+00:00,62.9639,0.1041,96.4056,0.0216,0.8473,0.0,2400.0,0.0,7.0129
48.0,2026-05-06T03:19:00.239395+00:00,62.9259,0.08,96.4275,0.0166,0.8473,0.0,2400.0,0.0,6.9551
48.5,2026-05-06T03:19:00.739315+00:00,62.8968,0.1251,96.3285,-0.0644,0.8473,0.0,2400.0,0.0,6.9269
49.0,2026-05-06T03:19:01.240296+00:00,63.1289,0.2235,96.3682,-0.0881,0.8473,0.0,2400.0,0.0,6.8619
49.5,2026-05-06T03:19:01.739669+00:00,63.3074,0.1717,96.2599,-0.0368,0.8473,0.0,2400.0,0.0,6.8302
50.0,2026-05-06T03:19:02.245386+00:00,63.4445,0.2593,96.3154,-0.0206,0.8473,0.0,2400.0,0.0,6.8147
50.5,2026-05-06T03:19:02.739333+00:00,63.5499,0.3266,96.3581,-0.0158,0.8473,0.0,2400.0,0.0,6.8072
51.0,2026-05-06T03:19:03.239438+00:00,63.5036,0.1874,96.391,-0.0122,0.8473,0.0,2400.0,0.0,6.8035
51.5,2026-05-06T03:19:03.739709+00:00,63.5954,0.144,96.4162,0.0292,0.8473,0.0,2400.0,0.0,6.8017
52.0,2026-05-06T03:19:04.239607+00:00,63.7931,0.1743,96.3199,-0.0161,0.8473,0.0,2400.0,0.0,6.7496
52.5,2026-05-06T03:19:04.743209+00:00,64.0724,0.2612,96.4773,0.0725,0.8473,0.0,2400.0,0.0,6.7242
53.0,2026-05-06T03:19:05.239340+00:00,64.0325,0.2644,96.3437,0.0094,0.8473,0.0,2400.0,0.0,6.7118
53.5,2026-05-06T03:19:05.739316+00:00,64.2564,0.3305,96.4956,0.0458,0.8473,0.0,2400.0,0.0,6.7058
54.0,2026-05-06T03:19:06.241102+00:00,64.3012,0.254,96.3809,-0.0034,0.8473,0.0,2400.0,0.0,6.6516
54.5,2026-05-06T03:19:06.739354+00:00,64.2084,0.068,96.2927,-0.0412,0.8473,0.0,2400.0,0.0,6.6252
55.0,2026-05-06T03:19:07.242872+00:00,64.137,0.0522,96.225,-0.0316,0.8473,0.0,2400.0,0.0,6.6123
55.5,2026-05-06T03:19:07.739450+00:00,64.2094,-0.0235,96.1729,-0.1014,0.8473,0.0,2400.0,0.0,6.606
56.0,2026-05-06T03:19:08.240229+00:00,64.2651,-0.018,96.2486,-0.0317,0.8473,0.0,2400.0,0.0,6.6029
56.5,2026-05-06T03:19:08.741093+00:00,64.3079,0.0498,96.3068,-0.0629,0.8473,0.0,2400.0,0.0,6.6014
57.0,2026-05-06T03:19:09.239291+00:00,64.3408,0.1019,96.2358,-0.0484,0.8473,0.0,2400.0,0.0,6.5495
57.5,2026-05-06T03:19:09.746111+00:00,64.366,0.0783,96.4126,0.04,0.8473,0.0,2400.0,0.0,6.5242
58.0,2026-05-06T03:19:10.240226+00:00,64.5127,0.1238,96.4329,0.0693,0.8473,0.0,2400.0,0.0,6.5118
58.5,2026-05-06T03:19:10.739295+00:00,64.4982,0.0952,96.217,0.0147,0.8473,0.0,2400.0,0.0,6.5058
59.0,2026-05-06T03:19:11.239662+00:00,64.4871,0.0731,96.3982,0.0499,0.8473,0.0,2400.0,0.0,6.5028
59.5,2026-05-06T03:19:11.739308+00:00,64.733,0.1835,96.5374,0.0769,0.8473,0.0,2400.0,0.0,6.5014
60.0,2026-05-06T03:19:12.243423+00:00,64.7948,0.141,96.4131,0.0591,0.8473,0.0,2400.0,0.0,6.5007
60.5,2026-05-06T03:19:12.739596+00:00,64.715,0.1084,96.3175,-0.0317,0.8473,0.0,2400.0,0.0,6.5003
61.0,2026-05-06T03:19:13.239503+00:00,64.9082,0.2106,96.3597,-0.0244,0.8473,0.0,2400.0,0.0,6.5002
61.5,2026-05-06T03:19:13.739405+00:00,64.9295,0.0982,96.1608,-0.0187,0.8473,0.0,2400.0,0.0,6.5001
62.0,2026-05-06T03:19:14.239577+00:00,64.9458,0.0755,96.355,-0.0144,0.8473,0.0,2400.0,0.0,6.5
